leads_id,leads_registered,number_of_employee,industry,session_source,total_visits,first_visits,cluster
426,2021-03-30 15:43:42+00:00,30,Education,CPC,4,/home,0
442,2021-04-01 17:23:09+00:00,30,Education,Organic Social,3,/home,2
531,2021-04-29 12:23:30+00:00,30,Education,CPC,2,/form/demo,2
663,2021-06-03 13:11:53+00:00,30,Education,Organic Social,4,/home,0
902,2021-08-05 17:53:21+00:00,30,Education,Organic Search,3,/home,2
968,2021-08-30 14:31:32+00:00,30,Education,Organic Social,2,/testimonials,2
1130,2021-10-01 16:12:53+00:00,30,Education,CPC,4,/features,0
1380,2021-12-07 12:21:43+00:00,30,Education,CPC,3,/features,2
1382,2021-12-07 13:11:13+00:00,30,Education,Organic Social,3,/features,2
1397,2021-12-08 17:28:36+00:00,30,Education,Organic Search,3,/form/demo,2
1410,2021-12-10 11:48:01+00:00,30,Education,Organic Social,3,/features,2
1469,2021-12-23 13:34:26+00:00,30,Education,CPC,3,/features,2
1890,2022-03-22 16:04:06+00:00,30,Education,CPC,2,/home,2
1949,2022-03-28 16:21:22+00:00,30,Education,Organic Social,3,/form/demo,2
1954,2022-03-28 17:47:39+00:00,30,Education,Organic Social,2,/form/demo,2
2176,2022-05-23 17:00:45+00:00,30,Education,CPC,3,/features,2
2462,2022-06-27 16:24:08+00:00,30,Education,Refferal,3,/home,2
2553,2022-07-11 16:55:06+00:00,30,Education,CPC,3,/features,2
3009,2022-09-26 11:38:14+00:00,30,Education,Organic Social,4,/features,0
3106,2022-09-30 17:44:42+00:00,30,Education,Organic Social,4,/home,0
3167,2022-10-11 09:06:32+00:00,30,Education,CPC,2,/home,2
3353,2022-11-23 12:28:59+00:00,30,Education,CPC,3,/portofolio,2
3384,2022-11-30 10:00:07+00:00,30,Education,Organic Social,4,/home,0
44,2020-12-08 16:06:14+00:00,35,Education,CPC,3,/features,2
136,2021-01-04 13:48:33+00:00,35,Education,CPC,2,/features,2
217,2021-01-28 13:13:08+00:00,35,Education,Organic Social,4,/features,0
368,2021-03-10 10:27:26+00:00,35,Education,Refferal,3,/home,2
799,2021-07-05 16:22:48+00:00,35,Education,Refferal,4,/portofolio,0
812,2021-07-07 16:25:04+00:00,35,Education,CPC,3,/form/demo,2
814,2021-07-08 13:33:17+00:00,35,Education,Organic Social,3,/features,2
923,2021-08-13 14:27:11+00:00,35,Education,CPC,3,/home,2
1038,2021-09-09 10:56:50+00:00,35,Education,CPC,3,/form/demo,2
1245,2021-11-05 13:43:20+00:00,35,Education,CPC,4,/home,0
1266,2021-11-12 17:15:36+00:00,35,Education,Organic Social,4,/home,0
1409,2021-12-10 11:38:27+00:00,35,Education,Organic Social,3,/home,2
1466,2021-12-23 10:17:54+00:00,35,Education,Organic Social,3,/form/demo,2
1509,2021-12-29 14:41:16+00:00,35,Education,Organic Search,4,/home,0
2326,2022-06-07 10:06:15+00:00,35,Education,CPC,4,/features,0
2446,2022-06-24 13:40:17+00:00,35,Education,Refferal,4,/portofolio,0
2711,2022-08-19 10:52:20+00:00,35,Education,Organic Social,3,/features,2
2734,2022-08-26 13:26:30+00:00,35,Education,Organic Social,3,/studycase,2
2744,2022-08-29 10:16:09+00:00,35,Education,Direct,4,/home,0
3129,2022-10-04 17:31:38+00:00,35,Education,Organic Social,2,/features,2
3141,2022-10-05 15:01:20+00:00,35,Education,CPC,4,/features,0
3197,2022-10-19 11:30:38+00:00,35,Education,Direct,4,/features,0
3305,2022-11-04 13:35:47+00:00,35,Education,Direct,4,/features,0
5,2020-11-27 11:07:38+00:00,40,Education,Organic Search,3,/features,2
58,2020-12-11 09:42:14+00:00,40,Education,Organic Social,2,/testimonials,2
156,2021-01-06 12:19:31+00:00,40,Education,Organic Social,4,/portofolio,0
236,2021-02-02 09:55:01+00:00,40,Education,Organic Social,4,/features,0
321,2021-03-02 13:18:53+00:00,40,Education,Organic Search,3,/portofolio,2
704,2021-06-11 12:29:03+00:00,40,Education,CPC,3,/form/demo,2
944,2021-08-24 16:27:10+00:00,40,Education,Organic Social,2,/features,2
1156,2021-10-07 09:13:11+00:00,40,Education,Organic Search,3,/features,2
1173,2021-10-14 09:43:22+00:00,40,Education,Refferal,3,/home,2
1475,2021-12-24 14:46:00+00:00,40,Education,CPC,4,/features,0
1642,2022-01-26 15:05:57+00:00,40,Education,CPC,4,/home,0
1658,2022-01-31 10:08:37+00:00,40,Education,CPC,2,/portofolio,2
1659,2022-01-31 10:46:27+00:00,40,Education,Organic Social,3,/features,2
1869,2022-03-17 13:30:53+00:00,40,Education,Organic Social,2,/features,2
1958,2022-03-29 17:11:40+00:00,40,Education,Organic Social,2,/features,2
2053,2022-04-21 12:16:34+00:00,40,Education,CPC,4,/home,0
2121,2022-05-04 13:53:52+00:00,40,Education,Refferal,4,/features,0
2240,2022-05-31 13:05:14+00:00,40,Education,CPC,2,/home,2
2342,2022-06-08 12:58:20+00:00,40,Education,CPC,3,/home,2
2681,2022-08-08 15:09:06+00:00,40,Education,CPC,3,/features,2
3133,2022-10-05 09:14:37+00:00,40,Education,Refferal,2,/form/demo,2
3202,2022-10-20 09:44:22+00:00,40,Education,CPC,4,/home,0
3216,2022-10-24 15:23:20+00:00,40,Education,CPC,4,/home,0
3243,2022-10-28 10:11:45+00:00,40,Education,Direct,3,/portofolio,2
3248,2022-10-28 16:13:37+00:00,40,Education,Organic Social,3,/features,2
1033,2021-09-08 13:29:06+00:00,300,Education,Organic Social,2,/studycase,1
2724,2022-08-25 11:53:28+00:00,300,Education,Organic Search,4,/home,0
2822,2022-09-02 16:03:55+00:00,300,Education,Refferal,2,/testimonials,1
73,2020-12-16 17:40:41+00:00,45,Education,CPC,3,/features,2
211,2021-01-26 09:35:17+00:00,45,Education,CPC,4,/features,0
253,2021-02-04 16:21:47+00:00,45,Education,CPC,3,/form/demo,2
257,2021-02-05 11:12:36+00:00,45,Education,CPC,4,/features,0
381,2021-03-18 10:29:23+00:00,45,Education,Organic Search,4,/features,0
408,2021-03-26 11:09:28+00:00,45,Education,CPC,4,/studycase,0
423,2021-03-30 14:51:51+00:00,45,Education,Organic Search,4,/features,0
440,2021-04-01 16:34:05+00:00,45,Education,CPC,4,/features,0
543,2021-04-30 14:45:01+00:00,45,Education,Organic Search,2,/home,2
793,2021-07-05 10:20:59+00:00,45,Education,CPC,2,/features,2
917,2021-08-10 10:22:37+00:00,45,Education,CPC,4,/features,0
1274,2021-11-17 14:31:50+00:00,45,Education,Refferal,3,/features,2
1541,2021-12-31 16:40:08+00:00,45,Education,Organic Social,4,/features,0
1582,2022-01-06 16:17:54+00:00,45,Education,CPC,3,/portofolio,2
1589,2022-01-07 11:08:57+00:00,45,Education,Organic Search,4,/features,0
1605,2022-01-12 17:23:15+00:00,45,Education,Organic Social,2,/home,2
1628,2022-01-21 16:46:18+00:00,45,Education,Organic Social,3,/features,2
1751,2022-02-28 11:48:07+00:00,45,Education,CPC,3,/studycase,2
2094,2022-04-29 13:38:44+00:00,45,Education,CPC,4,/features,0
2312,2022-06-06 13:28:30+00:00,45,Education,CPC,2,/features,2
2333,2022-06-07 17:04:37+00:00,45,Education,CPC,3,/features,2
2960,2022-09-21 12:39:07+00:00,45,Education,CPC,4,/home,0
3116,2022-10-04 09:02:35+00:00,45,Education,Organic Search,4,/home,0
3294,2022-11-02 15:25:54+00:00,45,Education,CPC,3,/features,2
49,2020-12-09 11:25:51+00:00,50,Education,Organic Search,2,/features,2
383,2021-03-19 09:08:29+00:00,50,Education,CPC,6,/features,0
414,2021-03-26 17:51:37+00:00,50,Education,CPC,3,/features,2
484,2021-04-09 11:46:54+00:00,50,Education,Organic Social,4,/home,0
658,2021-06-02 14:32:56+00:00,50,Education,Organic Search,3,/features,2
665,2021-06-03 15:59:30+00:00,50,Education,Organic Social,2,/portofolio,2
669,2021-06-04 09:17:52+00:00,50,Education,Organic Search,3,/testimonials,2
1138,2021-10-04 10:11:38+00:00,50,Education,CPC,4,/studycase,0
1341,2021-12-01 16:01:36+00:00,50,Education,CPC,2,/home,2
1413,2021-12-13 14:57:00+00:00,50,Education,CPC,2,/studycase,2
1436,2021-12-16 16:48:54+00:00,50,Education,Organic Social,4,/home,0
1602,2022-01-11 15:07:56+00:00,50,Education,Organic Social,2,/home,2
1681,2022-02-04 12:13:11+00:00,50,Education,Organic Social,3,/home,2
1953,2022-03-28 17:44:37+00:00,50,Education,CPC,3,/home,2
2029,2022-04-08 10:37:01+00:00,50,Education,CPC,4,/home,0
2275,2022-06-02 13:57:48+00:00,50,Education,CPC,6,/features,0
2439,2022-06-24 10:19:52+00:00,50,Education,CPC,2,/portofolio,2
2503,2022-07-01 10:57:09+00:00,50,Education,Organic Search,5,/features,0
2701,2022-08-12 14:48:09+00:00,50,Education,CPC,3,/features,2
2899,2022-09-12 17:00:10+00:00,50,Education,Organic Social,2,/testimonials,2
3028,2022-09-26 17:15:11+00:00,50,Education,Organic Search,3,/home,2
3037,2022-09-27 14:42:59+00:00,50,Education,CPC,3,/home,2
3079,2022-09-29 16:32:22+00:00,50,Education,Organic Social,3,/features,2
3130,2022-10-04 17:57:06+00:00,50,Education,CPC,4,/home,0
3190,2022-10-18 10:56:08+00:00,50,Education,Direct,6,/home,0
3214,2022-10-24 09:45:09+00:00,50,Education,Organic Search,6,/home,0
3390,2022-12-01 10:27:43+00:00,50,Education,CPC,4,/features,0
193,2021-01-18 16:17:34+00:00,60,Education,Refferal,5,/form/demo,0
678,2021-06-04 14:58:16+00:00,60,Education,Organic Social,5,/features,0
697,2021-06-08 16:30:56+00:00,60,Education,CPC,3,/home,2
788,2021-07-02 17:47:38+00:00,60,Education,Refferal,6,/home,0
1224,2021-11-02 17:47:15+00:00,60,Education,CPC,3,/home,2
1365,2021-12-03 17:50:50+00:00,60,Education,Direct,6,/studycase,0
1555,2022-01-03 14:57:51+00:00,60,Education,CPC,5,/home,0
1590,2022-01-07 12:57:34+00:00,60,Education,Direct,5,/features,0
1706,2022-02-17 16:15:54+00:00,60,Education,CPC,5,/studycase,0
1754,2022-02-28 14:23:51+00:00,60,Education,Direct,5,/form/demo,0
2893,2022-09-12 12:28:47+00:00,60,Education,Direct,2,/features,2
2980,2022-09-22 16:14:48+00:00,60,Education,Refferal,5,/studycase,0
3111,2022-10-03 11:33:46+00:00,60,Education,Organic Search,2,/features,2
3263,2022-10-31 12:14:03+00:00,60,Education,CPC,6,/home,0
662,2021-06-03 12:21:38+00:00,325,Education,Refferal,1,/form/set-a-meeting,1
1377,2021-12-07 10:20:29+00:00,325,Education,Refferal,1,/form/set-a-meeting,1
3187,2022-10-17 15:11:48+00:00,325,Education,Refferal,1,/form/set-a-meeting,1
3336,2022-11-18 10:59:58+00:00,325,Education,Organic Search,6,/features,0
402,2021-03-25 12:55:16+00:00,70,Education,Direct,5,/home,0
501,2021-04-20 11:00:39+00:00,70,Education,CPC,6,/home,0
523,2021-04-28 13:05:49+00:00,70,Education,Direct,6,/home,0
1779,2022-03-02 16:11:07+00:00,70,Education,Direct,5,/home,0
2058,2022-04-22 17:41:43+00:00,70,Education,Organic Search,6,/home,0
2375,2022-06-14 17:47:53+00:00,70,Education,Organic Search,6,/studycase,0
2518,2022-07-04 10:07:47+00:00,70,Education,CPC,5,/form/demo,0
2945,2022-09-19 17:27:11+00:00,70,Education,Direct,5,/home,0
3061,2022-09-28 14:33:46+00:00,70,Education,Organic Search,5,/home,0
3176,2022-10-12 16:02:05+00:00,70,Education,Organic Social,2,/form/demo,2
3292,2022-11-02 14:06:27+00:00,70,Education,CPC,5,/home,0
196,2021-01-20 12:42:08+00:00,80,Education,CPC,4,/home,0
1031,2021-09-07 16:38:08+00:00,80,Education,Direct,6,/home,0
1928,2022-03-25 10:51:11+00:00,80,Education,Direct,5,/features,0
1979,2022-03-31 12:39:01+00:00,80,Education,Direct,6,/features,0
2248,2022-05-31 17:21:38+00:00,80,Education,Direct,5,/features,0
2458,2022-06-27 11:45:24+00:00,80,Education,CPC,4,/home,0
2536,2022-07-06 12:10:03+00:00,80,Education,Direct,5,/home,0
51,2020-12-09 13:24:49+00:00,90,Education,CPC,2,/features,2
64,2020-12-11 16:32:08+00:00,90,Education,Direct,3,/features,2
207,2021-01-25 17:28:47+00:00,90,Education,Direct,6,/home,0
469,2021-04-07 17:22:26+00:00,90,Education,Organic Social,2,/testimonials,2
1226,2021-11-03 09:35:33+00:00,90,Education,Direct,6,/features,0
1323,2021-11-30 15:37:45+00:00,90,Education,Refferal,5,/home,0
1493,2021-12-28 09:19:27+00:00,90,Education,Direct,5,/studycase,0
1815,2022-03-07 15:34:14+00:00,90,Education,Refferal,6,/home,0
2013,2022-04-05 12:23:28+00:00,90,Education,CPC,5,/studycase,0
2515,2022-07-01 16:40:53+00:00,90,Education,Refferal,5,/form/demo,0
2628,2022-08-01 12:52:49+00:00,90,Education,CPC,3,/features,2
2759,2022-08-30 11:46:47+00:00,90,Education,Direct,6,/home,0
2937,2022-09-19 15:05:22+00:00,90,Education,Organic Search,5,/features,0
3043,2022-09-27 17:52:10+00:00,90,Education,CPC,6,/studycase,0
3394,2022-12-02 15:11:21+00:00,90,Education,Direct,5,/features,0
117,2020-12-31 10:42:29+00:00,100,Education,CPC,4,/home,0
145,2021-01-05 10:10:36+00:00,100,Education,CPC,4,/features,0
296,2021-02-25 14:22:50+00:00,100,Education,Organic Search,5,/home,0
483,2021-04-09 10:55:18+00:00,100,Education,Direct,5,/features,0
554,2021-05-03 15:19:26+00:00,100,Education,Direct,6,/home,0
889,2021-08-03 16:56:10+00:00,100,Education,Direct,3,/portofolio,2
1105,2021-09-29 12:33:36+00:00,100,Education,Refferal,5,/features,0
1198,2021-10-27 16:22:40+00:00,100,Education,CPC,4,/home,0
1877,2022-03-21 09:12:05+00:00,100,Education,Direct,5,/home,0
1929,2022-03-25 11:02:37+00:00,100,Education,Direct,6,/home,0
2237,2022-05-31 09:57:14+00:00,100,Education,CPC,6,/home,0
2336,2022-06-08 09:42:27+00:00,100,Education,Organic Search,5,/home,0
2782,2022-08-31 16:10:19+00:00,100,Education,CPC,5,/features,0
2984,2022-09-23 10:02:17+00:00,100,Education,Direct,6,/home,0
3376,2022-11-28 14:24:39+00:00,100,Education,Organic Social,3,/testimonials,2
726,2021-06-22 16:46:24+00:00,110,Education,CPC,2,/home,2
1513,2021-12-29 17:12:02+00:00,110,Education,Direct,6,/form/demo,0
2104,2022-05-02 11:49:34+00:00,110,Education,Organic Search,5,/home,0
3291,2022-11-02 12:06:38+00:00,110,Education,Direct,6,/home,0
1271,2021-11-16 16:02:55+00:00,375,Education,Refferal,1,/form/brochure,1
1740,2022-02-25 16:32:02+00:00,375,Education,Refferal,5,/features,0
160,2021-01-06 14:26:11+00:00,120,Education,CPC,3,/features,2
258,2021-02-05 11:42:34+00:00,120,Education,CPC,3,/features,2
1056,2021-09-17 15:18:07+00:00,120,Education,Direct,5,/home,0
1220,2021-11-02 15:22:16+00:00,120,Education,Organic Search,5,/home,0
1756,2022-02-28 14:47:00+00:00,120,Education,Organic Search,2,/home,2
1982,2022-03-31 16:25:04+00:00,120,Education,Direct,4,/features,0
2095,2022-04-29 14:47:45+00:00,120,Education,CPC,5,/home,0
2910,2022-09-14 09:01:40+00:00,120,Education,CPC,3,/home,2
3244,2022-10-28 10:54:56+00:00,120,Education,CPC,5,/features,0
3318,2022-11-10 13:11:41+00:00,120,Education,Refferal,5,/form/demo,0
25,2020-12-04 13:50:11+00:00,130,Education,Refferal,6,/home,0
274,2021-02-16 10:11:24+00:00,130,Education,Direct,5,/features,0
730,2021-06-23 14:09:47+00:00,130,Education,Refferal,3,/testimonials,2
783,2021-07-02 15:30:49+00:00,130,Education,Organic Search,5,/home,0
784,2021-07-02 16:29:47+00:00,130,Education,Direct,6,/home,0
989,2021-09-01 10:52:57+00:00,130,Education,Refferal,5,/features,0
1183,2021-10-21 12:46:01+00:00,130,Education,Direct,5,/form/demo,0
1463,2021-12-22 16:34:22+00:00,130,Education,CPC,6,/home,0
1528,2021-12-31 09:12:09+00:00,130,Education,Organic Search,6,/home,0
1725,2022-02-23 16:40:47+00:00,130,Education,Direct,5,/studycase,0
1839,2022-03-09 17:58:27+00:00,130,Education,Organic Search,6,/home,0
2310,2022-06-06 13:16:11+00:00,130,Education,Refferal,6,/home,0
2958,2022-09-21 12:12:15+00:00,130,Education,Direct,5,/home,0
18,2020-12-02 14:47:29+00:00,140,Education,Refferal,1,/form/brochure,1
28,2020-12-04 15:48:54+00:00,140,Education,Direct,4,/studycase,0
159,2021-01-06 13:58:45+00:00,140,Education,Direct,4,/home,0
229,2021-01-29 16:39:59+00:00,140,Education,Direct,4,/features,0
235,2021-02-01 17:50:44+00:00,140,Education,Direct,6,/home,0
318,2021-03-02 09:21:16+00:00,140,Education,Direct,4,/features,0
396,2021-03-24 12:18:46+00:00,140,Education,Direct,4,/home,0
439,2021-04-01 16:11:55+00:00,140,Education,Refferal,4,/features,0
802,2021-07-06 09:31:51+00:00,140,Education,CPC,3,/home,2
1118,2021-09-30 14:22:22+00:00,140,Education,Direct,4,/home,0
1149,2021-10-06 10:50:16+00:00,140,Education,Organic Social,4,/form/demo,0
1376,2021-12-07 09:41:59+00:00,140,Education,CPC,4,/home,0
1539,2021-12-31 16:05:04+00:00,140,Education,Refferal,4,/form/demo,0
1623,2022-01-21 10:53:44+00:00,140,Education,Direct,5,/features,0
2045,2022-04-18 12:31:45+00:00,140,Education,Organic Search,6,/form/demo,0
2063,2022-04-25 13:04:39+00:00,140,Education,Direct,4,/home,0
2689,2022-08-10 13:42:15+00:00,140,Education,CPC,4,/features,0
2726,2022-08-25 14:36:03+00:00,140,Education,Refferal,1,/form/brochure,1
2758,2022-08-30 11:44:39+00:00,140,Education,Organic Search,4,/home,0
3012,2022-09-26 13:10:56+00:00,140,Education,Organic Search,4,/features,0
3128,2022-10-04 17:13:26+00:00,140,Education,CPC,3,/home,2
3212,2022-10-21 16:10:39+00:00,140,Education,CPC,4,/form/demo,0
2177,2022-05-23 17:13:49+00:00,400,Education,Refferal,1,/form/set-a-meeting,1
2179,2022-05-24 16:22:42+00:00,400,Education,Direct,5,/home,0
