leads_id,session_source_code,industry_code,leads_registered,number_of_employee
2163,4,1,2022-05-18 12:55:47.000000 UTC,20
2343,1,1,2022-06-08 13:49:13.000000 UTC,20
2413,4,1,2022-06-22 10:44:06.000000 UTC,20
2481,1,1,2022-06-29 10:22:55.000000 UTC,20
2587,1,1,2022-07-25 09:10:43.000000 UTC,20
2664,1,1,2022-08-04 11:00:54.000000 UTC,20
2673,1,1,2022-08-05 16:08:20.000000 UTC,20
3108,1,1,2022-10-03 09:21:55.000000 UTC,20
3169,2,1,2022-10-11 10:23:06.000000 UTC,20
3223,4,1,2022-10-26 11:41:10.000000 UTC,20
3387,1,1,2022-11-30 16:31:45.000000 UTC,20
168,1,1,2021-01-07 14:32:24.000000 UTC,25
272,1,1,2021-02-15 17:22:38.000000 UTC,25
391,3,1,2021-03-22 09:49:35.000000 UTC,25
476,1,1,2021-04-08 12:01:56.000000 UTC,25
566,5,1,2021-05-04 14:09:35.000000 UTC,25
664,1,1,2021-06-03 13:53:26.000000 UTC,25
681,4,1,2021-06-04 16:57:21.000000 UTC,25
751,2,1,2021-06-28 13:10:19.000000 UTC,25
1034,1,1,2021-09-08 13:49:39.000000 UTC,25
1120,1,1,2021-09-30 16:19:12.000000 UTC,25
1146,4,1,2021-10-06 09:25:03.000000 UTC,25
1161,3,1,2021-10-08 10:22:40.000000 UTC,25
1180,4,1,2021-10-19 15:03:32.000000 UTC,25
1261,1,1,2021-11-11 09:16:45.000000 UTC,25
1304,4,1,2021-11-26 17:09:08.000000 UTC,25
1543,1,1,2021-12-31 17:05:32.000000 UTC,25
1870,5,1,2022-03-17 14:07:43.000000 UTC,25
1994,1,1,2022-04-01 15:14:34.000000 UTC,25
2014,1,1,2022-04-05 13:37:04.000000 UTC,25
2136,3,1,2022-05-06 11:00:39.000000 UTC,25
2271,1,1,2022-06-02 12:18:03.000000 UTC,25
2318,2,1,2022-06-06 16:26:36.000000 UTC,25
2663,1,1,2022-08-04 10:24:33.000000 UTC,25
2830,3,1,2022-09-05 09:24:59.000000 UTC,25
2973,3,1,2022-09-22 10:38:22.000000 UTC,25
3180,1,1,2022-10-13 14:52:50.000000 UTC,25
3279,4,1,2022-11-01 13:40:33.000000 UTC,25
301,1,1,2021-02-26 09:58:07.000000 UTC,30
348,1,1,2021-03-05 17:23:53.000000 UTC,30
426,1,1,2021-03-30 15:43:42.000000 UTC,30
442,4,1,2021-04-01 17:23:09.000000 UTC,30
531,1,1,2021-04-29 12:23:30.000000 UTC,30
663,4,1,2021-06-03 13:11:53.000000 UTC,30
902,3,1,2021-08-05 17:53:21.000000 UTC,30
968,4,1,2021-08-30 14:31:32.000000 UTC,30
1130,1,1,2021-10-01 16:12:53.000000 UTC,30
1380,1,1,2021-12-07 12:21:43.000000 UTC,30
1382,4,1,2021-12-07 13:11:13.000000 UTC,30
1397,3,1,2021-12-08 17:28:36.000000 UTC,30
1410,4,1,2021-12-10 11:48:01.000000 UTC,30
1469,1,1,2021-12-23 13:34:26.000000 UTC,30
1890,1,1,2022-03-22 16:04:06.000000 UTC,30
1949,4,1,2022-03-28 16:21:22.000000 UTC,30
1954,4,1,2022-03-28 17:47:39.000000 UTC,30
2176,1,1,2022-05-23 17:00:45.000000 UTC,30
2462,5,1,2022-06-27 16:24:08.000000 UTC,30
2553,1,1,2022-07-11 16:55:06.000000 UTC,30
3009,4,1,2022-09-26 11:38:14.000000 UTC,30
3106,4,1,2022-09-30 17:44:42.000000 UTC,30
3167,1,1,2022-10-11 09:06:32.000000 UTC,30
3353,1,1,2022-11-23 12:28:59.000000 UTC,30
3384,4,1,2022-11-30 10:00:07.000000 UTC,30
44,1,1,2020-12-08 16:06:14.000000 UTC,35
136,1,1,2021-01-04 13:48:33.000000 UTC,35
217,4,1,2021-01-28 13:13:08.000000 UTC,35
368,5,1,2021-03-10 10:27:26.000000 UTC,35
799,5,1,2021-07-05 16:22:48.000000 UTC,35
812,1,1,2021-07-07 16:25:04.000000 UTC,35
814,4,1,2021-07-08 13:33:17.000000 UTC,35
923,1,1,2021-08-13 14:27:11.000000 UTC,35
1038,1,1,2021-09-09 10:56:50.000000 UTC,35
1245,1,1,2021-11-05 13:43:20.000000 UTC,35
1266,4,1,2021-11-12 17:15:36.000000 UTC,35
1409,4,1,2021-12-10 11:38:27.000000 UTC,35
1466,4,1,2021-12-23 10:17:54.000000 UTC,35
1509,3,1,2021-12-29 14:41:16.000000 UTC,35
2326,1,1,2022-06-07 10:06:15.000000 UTC,35
2446,5,1,2022-06-24 13:40:17.000000 UTC,35
2711,4,1,2022-08-19 10:52:20.000000 UTC,35
2734,4,1,2022-08-26 13:26:30.000000 UTC,35
2744,2,1,2022-08-29 10:16:09.000000 UTC,35
3129,4,1,2022-10-04 17:31:38.000000 UTC,35
3141,1,1,2022-10-05 15:01:20.000000 UTC,35
3197,2,1,2022-10-19 11:30:38.000000 UTC,35
3305,2,1,2022-11-04 13:35:47.000000 UTC,35
5,3,1,2020-11-27 11:07:38.000000 UTC,40
58,4,1,2020-12-11 09:42:14.000000 UTC,40
156,4,1,2021-01-06 12:19:31.000000 UTC,40
236,4,1,2021-02-02 09:55:01.000000 UTC,40
321,3,1,2021-03-02 13:18:53.000000 UTC,40
704,1,1,2021-06-11 12:29:03.000000 UTC,40
944,4,1,2021-08-24 16:27:10.000000 UTC,40
1156,3,1,2021-10-07 09:13:11.000000 UTC,40
1173,5,1,2021-10-14 09:43:22.000000 UTC,40
1475,1,1,2021-12-24 14:46:00.000000 UTC,40
1642,1,1,2022-01-26 15:05:57.000000 UTC,40
1658,1,1,2022-01-31 10:08:37.000000 UTC,40
1659,4,1,2022-01-31 10:46:27.000000 UTC,40
1869,4,1,2022-03-17 13:30:53.000000 UTC,40
1958,4,1,2022-03-29 17:11:40.000000 UTC,40
2053,1,1,2022-04-21 12:16:34.000000 UTC,40
2121,5,1,2022-05-04 13:53:52.000000 UTC,40
2240,1,1,2022-05-31 13:05:14.000000 UTC,40
2342,1,1,2022-06-08 12:58:20.000000 UTC,40
2681,1,1,2022-08-08 15:09:06.000000 UTC,40
3133,5,1,2022-10-05 09:14:37.000000 UTC,40
3202,1,1,2022-10-20 09:44:22.000000 UTC,40
3216,1,1,2022-10-24 15:23:20.000000 UTC,40
3243,2,1,2022-10-28 10:11:45.000000 UTC,40
3248,4,1,2022-10-28 16:13:37.000000 UTC,40
1033,4,1,2021-09-08 13:29:06.000000 UTC,300
2724,3,1,2022-08-25 11:53:28.000000 UTC,300
2822,5,1,2022-09-02 16:03:55.000000 UTC,300
73,1,1,2020-12-16 17:40:41.000000 UTC,45
211,1,1,2021-01-26 09:35:17.000000 UTC,45
253,1,1,2021-02-04 16:21:47.000000 UTC,45
257,1,1,2021-02-05 11:12:36.000000 UTC,45
381,3,1,2021-03-18 10:29:23.000000 UTC,45
408,1,1,2021-03-26 11:09:28.000000 UTC,45
423,3,1,2021-03-30 14:51:51.000000 UTC,45
440,1,1,2021-04-01 16:34:05.000000 UTC,45
543,3,1,2021-04-30 14:45:01.000000 UTC,45
793,1,1,2021-07-05 10:20:59.000000 UTC,45
917,1,1,2021-08-10 10:22:37.000000 UTC,45
1274,5,1,2021-11-17 14:31:50.000000 UTC,45
1541,4,1,2021-12-31 16:40:08.000000 UTC,45
1582,1,1,2022-01-06 16:17:54.000000 UTC,45
1589,3,1,2022-01-07 11:08:57.000000 UTC,45
1605,4,1,2022-01-12 17:23:15.000000 UTC,45
1628,4,1,2022-01-21 16:46:18.000000 UTC,45
1751,1,1,2022-02-28 11:48:07.000000 UTC,45
2094,1,1,2022-04-29 13:38:44.000000 UTC,45
2312,1,1,2022-06-06 13:28:30.000000 UTC,45
2333,1,1,2022-06-07 17:04:37.000000 UTC,45
2960,1,1,2022-09-21 12:39:07.000000 UTC,45
3116,3,1,2022-10-04 09:02:35.000000 UTC,45
3294,1,1,2022-11-02 15:25:54.000000 UTC,45
49,3,1,2020-12-09 11:25:51.000000 UTC,50
383,1,1,2021-03-19 09:08:29.000000 UTC,50
414,1,1,2021-03-26 17:51:37.000000 UTC,50
484,4,1,2021-04-09 11:46:54.000000 UTC,50
658,3,1,2021-06-02 14:32:56.000000 UTC,50
665,4,1,2021-06-03 15:59:30.000000 UTC,50
669,3,1,2021-06-04 09:17:52.000000 UTC,50
1138,1,1,2021-10-04 10:11:38.000000 UTC,50
1341,1,1,2021-12-01 16:01:36.000000 UTC,50
1413,1,1,2021-12-13 14:57:00.000000 UTC,50
1436,4,1,2021-12-16 16:48:54.000000 UTC,50
1602,4,1,2022-01-11 15:07:56.000000 UTC,50
1681,4,1,2022-02-04 12:13:11.000000 UTC,50
1953,1,1,2022-03-28 17:44:37.000000 UTC,50
2029,1,1,2022-04-08 10:37:01.000000 UTC,50
2275,1,1,2022-06-02 13:57:48.000000 UTC,50
2439,1,1,2022-06-24 10:19:52.000000 UTC,50
2503,3,1,2022-07-01 10:57:09.000000 UTC,50
2701,1,1,2022-08-12 14:48:09.000000 UTC,50
2899,4,1,2022-09-12 17:00:10.000000 UTC,50
3028,3,1,2022-09-26 17:15:11.000000 UTC,50
3037,1,1,2022-09-27 14:42:59.000000 UTC,50
3079,4,1,2022-09-29 16:32:22.000000 UTC,50
3130,1,1,2022-10-04 17:57:06.000000 UTC,50
3190,2,1,2022-10-18 10:56:08.000000 UTC,50
3214,3,1,2022-10-24 09:45:09.000000 UTC,50
3390,1,1,2022-12-01 10:27:43.000000 UTC,50
193,5,1,2021-01-18 16:17:34.000000 UTC,60
678,4,1,2021-06-04 14:58:16.000000 UTC,60
697,1,1,2021-06-08 16:30:56.000000 UTC,60
788,5,1,2021-07-02 17:47:38.000000 UTC,60
1224,1,1,2021-11-02 17:47:15.000000 UTC,60
1365,2,1,2021-12-03 17:50:50.000000 UTC,60
1555,1,1,2022-01-03 14:57:51.000000 UTC,60
1590,2,1,2022-01-07 12:57:34.000000 UTC,60
1706,1,1,2022-02-17 16:15:54.000000 UTC,60
1754,2,1,2022-02-28 14:23:51.000000 UTC,60
2893,2,1,2022-09-12 12:28:47.000000 UTC,60
2980,5,1,2022-09-22 16:14:48.000000 UTC,60
3111,3,1,2022-10-03 11:33:46.000000 UTC,60
3263,1,1,2022-10-31 12:14:03.000000 UTC,60
662,5,1,2021-06-03 12:21:38.000000 UTC,325
1377,5,1,2021-12-07 10:20:29.000000 UTC,325
3187,5,1,2022-10-17 15:11:48.000000 UTC,325
3336,3,1,2022-11-18 10:59:58.000000 UTC,325
402,2,1,2021-03-25 12:55:16.000000 UTC,70
501,1,1,2021-04-20 11:00:39.000000 UTC,70
523,2,1,2021-04-28 13:05:49.000000 UTC,70
1779,2,1,2022-03-02 16:11:07.000000 UTC,70
2058,3,1,2022-04-22 17:41:43.000000 UTC,70
2375,3,1,2022-06-14 17:47:53.000000 UTC,70
2518,1,1,2022-07-04 10:07:47.000000 UTC,70
2945,2,1,2022-09-19 17:27:11.000000 UTC,70
3061,3,1,2022-09-28 14:33:46.000000 UTC,70
3176,4,1,2022-10-12 16:02:05.000000 UTC,70
3292,1,1,2022-11-02 14:06:27.000000 UTC,70
196,1,1,2021-01-20 12:42:08.000000 UTC,80
1031,2,1,2021-09-07 16:38:08.000000 UTC,80
1928,2,1,2022-03-25 10:51:11.000000 UTC,80
1979,2,1,2022-03-31 12:39:01.000000 UTC,80
2248,2,1,2022-05-31 17:21:38.000000 UTC,80
2458,1,1,2022-06-27 11:45:24.000000 UTC,80
2536,2,1,2022-07-06 12:10:03.000000 UTC,80
51,1,1,2020-12-09 13:24:49.000000 UTC,90
64,2,1,2020-12-11 16:32:08.000000 UTC,90
207,2,1,2021-01-25 17:28:47.000000 UTC,90
469,4,1,2021-04-07 17:22:26.000000 UTC,90
1226,2,1,2021-11-03 09:35:33.000000 UTC,90
1323,5,1,2021-11-30 15:37:45.000000 UTC,90
1493,2,1,2021-12-28 09:19:27.000000 UTC,90
1815,5,1,2022-03-07 15:34:14.000000 UTC,90
2013,1,1,2022-04-05 12:23:28.000000 UTC,90
2515,5,1,2022-07-01 16:40:53.000000 UTC,90
2628,1,1,2022-08-01 12:52:49.000000 UTC,90
2759,2,1,2022-08-30 11:46:47.000000 UTC,90
2937,3,1,2022-09-19 15:05:22.000000 UTC,90
3043,1,1,2022-09-27 17:52:10.000000 UTC,90
3394,2,1,2022-12-02 15:11:21.000000 UTC,90
117,1,1,2020-12-31 10:42:29.000000 UTC,100
145,1,1,2021-01-05 10:10:36.000000 UTC,100
296,3,1,2021-02-25 14:22:50.000000 UTC,100
483,2,1,2021-04-09 10:55:18.000000 UTC,100
554,2,1,2021-05-03 15:19:26.000000 UTC,100
889,2,1,2021-08-03 16:56:10.000000 UTC,100
1105,5,1,2021-09-29 12:33:36.000000 UTC,100
1198,1,1,2021-10-27 16:22:40.000000 UTC,100
1877,2,1,2022-03-21 09:12:05.000000 UTC,100
1929,2,1,2022-03-25 11:02:37.000000 UTC,100
2237,1,1,2022-05-31 09:57:14.000000 UTC,100
2336,3,1,2022-06-08 09:42:27.000000 UTC,100
2782,1,1,2022-08-31 16:10:19.000000 UTC,100
2984,2,1,2022-09-23 10:02:17.000000 UTC,100
3376,4,1,2022-11-28 14:24:39.000000 UTC,100
726,1,1,2021-06-22 16:46:24.000000 UTC,110
1513,2,1,2021-12-29 17:12:02.000000 UTC,110
2104,3,1,2022-05-02 11:49:34.000000 UTC,110
3291,2,1,2022-11-02 12:06:38.000000 UTC,110
1271,5,1,2021-11-16 16:02:55.000000 UTC,375
1740,5,1,2022-02-25 16:32:02.000000 UTC,375
160,1,1,2021-01-06 14:26:11.000000 UTC,120
258,1,1,2021-02-05 11:42:34.000000 UTC,120
1056,2,1,2021-09-17 15:18:07.000000 UTC,120
1220,3,1,2021-11-02 15:22:16.000000 UTC,120
1756,3,1,2022-02-28 14:47:00.000000 UTC,120
1982,2,1,2022-03-31 16:25:04.000000 UTC,120
2095,1,1,2022-04-29 14:47:45.000000 UTC,120
2910,1,1,2022-09-14 09:01:40.000000 UTC,120
3244,1,1,2022-10-28 10:54:56.000000 UTC,120
3318,5,1,2022-11-10 13:11:41.000000 UTC,120
25,5,1,2020-12-04 13:50:11.000000 UTC,130
274,2,1,2021-02-16 10:11:24.000000 UTC,130
730,5,1,2021-06-23 14:09:47.000000 UTC,130
783,3,1,2021-07-02 15:30:49.000000 UTC,130
784,2,1,2021-07-02 16:29:47.000000 UTC,130
989,5,1,2021-09-01 10:52:57.000000 UTC,130
1183,2,1,2021-10-21 12:46:01.000000 UTC,130
1463,1,1,2021-12-22 16:34:22.000000 UTC,130
1528,3,1,2021-12-31 09:12:09.000000 UTC,130
1725,2,1,2022-02-23 16:40:47.000000 UTC,130
1839,3,1,2022-03-09 17:58:27.000000 UTC,130
2310,5,1,2022-06-06 13:16:11.000000 UTC,130
2958,2,1,2022-09-21 12:12:15.000000 UTC,130
18,5,1,2020-12-02 14:47:29.000000 UTC,140
28,2,1,2020-12-04 15:48:54.000000 UTC,140
159,2,1,2021-01-06 13:58:45.000000 UTC,140
229,2,1,2021-01-29 16:39:59.000000 UTC,140
235,2,1,2021-02-01 17:50:44.000000 UTC,140
318,2,1,2021-03-02 09:21:16.000000 UTC,140
396,2,1,2021-03-24 12:18:46.000000 UTC,140
439,5,1,2021-04-01 16:11:55.000000 UTC,140
802,1,1,2021-07-06 09:31:51.000000 UTC,140
1118,2,1,2021-09-30 14:22:22.000000 UTC,140
1149,4,1,2021-10-06 10:50:16.000000 UTC,140
1376,1,1,2021-12-07 09:41:59.000000 UTC,140
1539,5,1,2021-12-31 16:05:04.000000 UTC,140
1623,2,1,2022-01-21 10:53:44.000000 UTC,140
2045,3,1,2022-04-18 12:31:45.000000 UTC,140
2063,2,1,2022-04-25 13:04:39.000000 UTC,140
2689,1,1,2022-08-10 13:42:15.000000 UTC,140
2726,5,1,2022-08-25 14:36:03.000000 UTC,140
2758,3,1,2022-08-30 11:44:39.000000 UTC,140
3012,3,1,2022-09-26 13:10:56.000000 UTC,140
3128,1,1,2022-10-04 17:13:26.000000 UTC,140
3212,1,1,2022-10-21 16:10:39.000000 UTC,140
2177,5,1,2022-05-23 17:13:49.000000 UTC,400
2179,2,1,2022-05-24 16:22:42.000000 UTC,400
45,1,1,2020-12-08 16:08:54.000000 UTC,150
144,3,1,2021-01-04 16:57:24.000000 UTC,150
305,1,1,2021-02-26 12:50:37.000000 UTC,150
363,1,1,2021-03-09 17:34:53.000000 UTC,150
424,2,1,2021-03-30 14:54:00.000000 UTC,150
564,4,1,2021-05-04 13:25:04.000000 UTC,150
713,2,1,2021-06-17 16:47:09.000000 UTC,150
824,5,1,2021-07-12 14:41:57.000000 UTC,150
853,3,1,2021-07-26 15:49:19.000000 UTC,150
1000,1,1,2021-09-02 13:18:20.000000 UTC,150
1212,1,1,2021-11-01 09:39:38.000000 UTC,150
1363,3,1,2021-12-03 15:46:48.000000 UTC,150
1632,2,1,2022-01-24 14:02:37.000000 UTC,150
1763,2,1,2022-02-28 17:41:18.000000 UTC,150
1770,3,1,2022-03-02 09:33:04.000000 UTC,150
1927,3,1,2022-03-25 10:10:38.000000 UTC,150
1943,5,1,2022-03-28 14:01:06.000000 UTC,150
1955,3,1,2022-03-29 09:12:21.000000 UTC,150
2188,3,1,2022-05-25 11:08:12.000000 UTC,150
2203,2,1,2022-05-27 10:32:05.000000 UTC,150
2272,2,1,2022-06-02 12:49:21.000000 UTC,150
2456,1,1,2022-06-27 10:59:44.000000 UTC,150
2474,5,1,2022-06-28 16:36:13.000000 UTC,150
2489,3,1,2022-06-29 16:06:10.000000 UTC,150
2500,3,1,2022-06-30 17:35:00.000000 UTC,150
2633,2,1,2022-08-02 09:22:16.000000 UTC,150
2707,5,1,2022-08-15 13:52:23.000000 UTC,150
2817,5,1,2022-09-02 12:47:03.000000 UTC,150
2948,5,1,2022-09-20 12:36:36.000000 UTC,150
2864,5,1,2022-09-07 10:31:35.000000 UTC,425
1241,2,1,2021-11-05 09:29:55.000000 UTC,175
2642,2,1,2022-08-02 16:23:31.000000 UTC,175
582,5,1,2021-05-07 09:42:46.000000 UTC,450
2257,4,1,2022-06-01 10:49:16.000000 UTC,450
2508,5,1,2022-07-01 14:06:15.000000 UTC,450
1081,5,1,2021-09-24 16:41:24.000000 UTC,200
1698,5,1,2022-02-15 16:22:45.000000 UTC,200
1991,2,1,2022-04-01 13:26:27.000000 UTC,200
2931,5,1,2022-09-19 09:30:00.000000 UTC,200
2985,2,1,2022-09-23 10:14:29.000000 UTC,200
3168,5,1,2022-10-11 09:23:36.000000 UTC,200
941,5,1,2021-08-23 15:07:01.000000 UTC,475
2182,5,1,2022-05-24 17:45:16.000000 UTC,475
1726,5,1,2022-02-24 09:38:05.000000 UTC,225
2606,4,1,2022-07-28 09:55:28.000000 UTC,225
3001,5,1,2022-09-23 17:36:07.000000 UTC,225
3327,5,1,2022-11-11 16:46:13.000000 UTC,225
346,3,1,2021-03-05 10:59:23.000000 UTC,250
640,2,1,2021-05-31 10:54:24.000000 UTC,250
1369,2,1,2021-12-06 11:33:40.000000 UTC,250
30,1,2,2020-12-04 16:36:34.000000 UTC,5
80,3,2,2020-12-21 10:30:38.000000 UTC,5
87,1,2,2020-12-23 12:00:51.000000 UTC,5
202,4,2,2021-01-25 09:10:36.000000 UTC,5
282,3,2,2021-02-19 17:44:06.000000 UTC,5
300,3,2,2021-02-26 09:34:14.000000 UTC,5
400,4,2,2021-03-25 09:58:33.000000 UTC,5
494,4,2,2021-04-15 16:05:42.000000 UTC,5
561,1,2,2021-05-04 10:51:14.000000 UTC,5
571,4,2,2021-05-04 17:05:12.000000 UTC,5
643,4,2,2021-05-31 16:36:50.000000 UTC,5
676,1,2,2021-06-04 12:17:13.000000 UTC,5
701,1,2,2021-06-10 15:13:51.000000 UTC,5
710,4,2,2021-06-15 13:00:00.000000 UTC,5
728,1,2,2021-06-23 12:02:07.000000 UTC,5
761,1,2,2021-06-29 13:00:38.000000 UTC,5
876,1,2,2021-08-02 10:52:48.000000 UTC,5
913,3,2,2021-08-09 13:15:01.000000 UTC,5
942,2,2,2021-08-23 17:45:36.000000 UTC,5
959,2,2,2021-08-27 12:12:35.000000 UTC,5
974,1,2,2021-08-30 16:51:11.000000 UTC,5
1053,1,2,2021-09-15 13:00:18.000000 UTC,5
1124,3,2,2021-10-01 11:29:35.000000 UTC,5
1127,4,2,2021-10-01 13:59:24.000000 UTC,5
1172,4,2,2021-10-14 09:26:33.000000 UTC,5
1186,4,2,2021-10-21 16:22:51.000000 UTC,5
1213,1,2,2021-11-01 12:44:46.000000 UTC,5
1225,1,2,2021-11-02 17:55:18.000000 UTC,5
1264,1,2,2021-11-12 12:20:53.000000 UTC,5
1267,1,2,2021-11-15 11:03:11.000000 UTC,5
1303,5,2,2021-11-26 16:43:16.000000 UTC,5
1336,4,2,2021-12-01 12:34:03.000000 UTC,5
1420,1,2,2021-12-14 14:48:55.000000 UTC,5
1422,1,2,2021-12-14 17:07:34.000000 UTC,5
1525,1,2,2021-12-30 17:07:47.000000 UTC,5
1803,4,2,2022-03-04 12:20:49.000000 UTC,5
1876,2,2,2022-03-18 17:00:38.000000 UTC,5
1930,4,2,2022-03-25 11:14:03.000000 UTC,5
2021,2,2,2022-04-06 12:32:55.000000 UTC,5
2041,4,2,2022-04-15 12:10:02.000000 UTC,5
2064,3,2,2022-04-25 15:06:19.000000 UTC,5
2102,3,2,2022-05-02 10:22:29.000000 UTC,5
2214,5,2,2022-05-30 09:33:18.000000 UTC,5
2304,4,2,2022-06-06 09:15:01.000000 UTC,5
2311,1,2,2022-06-06 13:19:36.000000 UTC,5
2316,4,2,2022-06-06 14:57:15.000000 UTC,5
2357,1,2,2022-06-10 09:23:42.000000 UTC,5
2427,4,2,2022-06-23 12:53:10.000000 UTC,5
2843,4,2,2022-09-05 17:12:50.000000 UTC,5
2954,4,2,2022-09-20 17:15:25.000000 UTC,5
3014,1,2,2022-09-26 13:49:00.000000 UTC,5
3029,2,2,2022-09-26 17:16:08.000000 UTC,5
3135,5,2,2022-10-05 10:51:02.000000 UTC,5
3170,4,2,2022-10-11 13:59:05.000000 UTC,5
3222,4,2,2022-10-26 10:56:46.000000 UTC,5
3226,1,2,2022-10-26 13:57:42.000000 UTC,5
3366,1,2,2022-11-25 13:37:30.000000 UTC,5
19,4,2,2020-12-02 15:09:05.000000 UTC,10
166,4,2,2021-01-07 11:17:59.000000 UTC,10
298,1,2,2021-02-26 09:11:11.000000 UTC,10
378,1,2,2021-03-15 14:24:23.000000 UTC,10
418,1,2,2021-03-29 17:36:51.000000 UTC,10
