contract_id,leads_id,date,subscription_type,number_of_employee,reten_flag,user_price
444,1555,2022-02-02,Startup,60,0,20000
96,361,2021-04-08,Startup,60,0,20000
559,333,2022-04-05,Startup,60,1,20000
117,444,2021-05-03,Startup,60,0,20000
90,333,2021-04-05,Startup,60,0,20000
890,837,2022-08-23,Startup,60,1,20000
534,1754,2022-04-01,Startup,60,0,20000
486,1639,2022-02-28,Startup,60,0,20000
520,1706,2022-03-25,Startup,60,0,20000
222,837,2021-08-23,Startup,60,0,20000
402,1423,2022-01-14,Startup,325,0,20000
568,359,2022-04-06,Startup,325,1,20000
1744,3336,2023-12-22,Startup,325,1,20000
1257,1423,2023-01-14,Startup,325,1,20000
92,359,2021-04-06,Startup,325,0,20000
1201,3336,2022-12-22,Startup,325,0,20000
442,110,2022-02-02,Startup,325,1,20000
37,110,2021-02-02,Startup,325,0,20000
1502,2383,2023-07-22,Startup,70,1,20000
1490,2322,2023-07-11,Startup,70,1,20000
637,2001,2022-05-03,Startup,70,0,20000
252,979,2021-09-29,Startup,70,0,20000
755,651,2022-07-02,Startup,70,1,20000
677,2058,2022-05-30,Startup,70,0,20000
1288,1523,2023-02-03,Startup,70,1,20000
960,979,2022-09-29,Startup,70,1,20000
1277,1530,2023-01-31,Startup,70,1,20000
1420,2058,2023-05-30,Startup,70,1,20000
792,2322,2022-07-11,Startup,70,0,20000
669,501,2022-05-24,Startup,70,1,20000
680,2081,2022-05-30,Startup,70,0,20000
449,1523,2022-02-03,Startup,70,0,20000
1367,1859,2023-04-14,Startup,70,1,20000
670,523,2022-05-24,Startup,70,1,20000
1402,2001,2023-05-03,Startup,70,1,20000
1423,2081,2023-05-30,Startup,70,1,20000
585,1859,2022-04-14,Startup,70,0,20000
1212,3345,2022-12-27,Startup,70,0,20000
134,501,2021-05-24,Startup,70,0,20000
811,2383,2022-07-22,Startup,70,0,20000
110,409,2021-04-28,Startup,70,0,20000
174,651,2021-07-02,Startup,70,0,20000
1704,3198,2023-11-21,Startup,70,1,20000
432,1530,2022-01-31,Startup,70,0,20000
133,523,2021-05-24,Startup,70,0,20000
35,134,2021-02-01,Startup,70,0,20000
309,1167,2021-11-08,Startup,70,0,20000
619,409,2022-04-28,Startup,70,1,20000
1143,3198,2022-11-21,Startup,70,0,20000
1588,2722,2023-09-29,Startup,80,1,20000
671,2049,2022-05-24,Startup,80,0,20000
701,2092,2022-06-03,Startup,80,0,20000
121,432,2021-05-06,Startup,80,0,20000
241,925,2021-09-15,Startup,80,0,20000
1434,2092,2023-06-03,Startup,80,1,20000
229,859,2021-09-01,Startup,80,0,20000
1383,1921,2023-04-26,Startup,80,1,20000
1706,3194,2023-11-22,Startup,80,1,20000
1688,3100,2023-11-03,Startup,80,1,20000
685,536,2022-06-01,Startup,80,1,20000
607,1921,2022-04-26,Startup,80,0,20000
1319,1671,2023-03-04,Startup,80,1,20000
206,794,2021-08-03,Startup,80,0,20000
1418,2049,2023-05-24,Startup,80,1,20000
257,957,2021-10-01,Startup,80,0,20000
463,1598,2022-02-09,Startup,80,0,20000
142,536,2021-06-01,Startup,80,0,20000
865,794,2022-08-03,Startup,80,1,20000
968,957,2022-10-01,Startup,80,1,20000
1121,3100,2022-11-03,Startup,80,0,20000
1246,1391,2023-01-05,Startup,80,1,20000
1146,3194,2022-11-22,Startup,80,0,20000
384,1391,2022-01-05,Startup,80,0,20000
650,432,2022-05-06,Startup,80,1,20000
946,925,2022-09-15,Startup,80,1,20000
963,2722,2022-09-29,Startup,80,0,20000
1293,1598,2023-02-09,Startup,80,1,20000
501,1671,2022-03-04,Startup,80,0,20000
479,199,2022-02-25,Startup,90,1,20000
1692,2986,2023-11-03,Startup,90,1,20000
141,526,2021-05-31,Startup,90,0,20000
55,199,2021-02-25,Startup,90,0,20000
472,1621,2022-02-23,Startup,90,0,20000
1275,1493,2023-01-31,Startup,90,1,20000
80,339,2021-04-01,Startup,90,0,20000
885,2563,2022-08-22,Startup,90,0,20000
1123,3151,2022-11-03,Startup,90,0,20000
1543,2563,2023-08-22,Startup,90,1,20000
1354,1815,2023-04-05,Startup,90,1,20000
799,2380,2022-07-18,Startup,90,0,20000
1041,2937,2022-10-24,Startup,90,0,20000
1078,1089,2022-10-29,Startup,90,1,20000
1441,2160,2023-06-14,Startup,90,1,20000
1134,3113,2022-11-08,Startup,90,0,20000
862,2515,2022-08-02,Startup,90,0,20000
1314,1627,2023-03-03,Startup,90,1,20000
1521,2485,2023-07-29,Startup,90,1,20000
498,1627,2022-03-03,Startup,90,0,20000
1700,3113,2023-11-08,Startup,90,1,20000
1357,1820,2023-04-07,Startup,90,1,20000
288,1089,2021-10-29,Startup,90,0,20000
1639,2937,2023-10-24,Startup,90,1,20000
1299,1621,2023-02-23,Startup,90,1,20000
1119,2986,2022-11-03,Startup,90,0,20000
269,1035,2021-10-08,Startup,90,0,20000
575,1820,2022-04-07,Startup,90,0,20000
1016,1035,2022-10-08,Startup,90,1,20000
1195,3328,2022-12-20,Startup,90,0,20000
1495,2380,2023-07-18,Startup,90,1,20000
1689,3151,2023-11-03,Startup,90,1,20000
640,1973,2022-05-03,Startup,90,0,20000
1219,3394,2022-12-30,Startup,90,0,20000
1329,1744,2023-03-30,Startup,90,1,20000
840,2485,2022-07-29,Startup,90,0,20000
528,1744,2022-03-30,Startup,90,0,20000
1397,1973,2023-05-03,Startup,90,1,20000
1739,3328,2023-12-20,Startup,90,1,20000
713,2160,2022-06-14,Startup,90,0,20000
682,526,2022-05-31,Startup,90,1,20000
435,1493,2022-01-31,Startup,90,0,20000
565,1815,2022-04-05,Startup,90,0,20000
859,2480,2022-08-02,Startup,350,0,20000
1531,2480,2023-08-02,Startup,350,1,20000
189,774,2021-07-27,Startup,100,0,20000
1287,1503,2023-02-03,Startup,100,1,20000
547,1783,2022-04-04,Startup,100,0,20000
1012,2846,2022-10-07,Startup,100,0,20000
20,10,2021-01-07,Startup,100,0,20000
1157,1190,2022-11-26,Startup,100,1,20000
1454,2250,2023-07-01,Startup,100,1,20000
339,1295,2021-12-28,Startup,100,0,20000
1520,2491,2023-07-28,Startup,100,1,20000
1752,3372,2023-12-30,Startup,100,1,20000
1033,2911,2022-10-20,Startup,100,0,20000
393,10,2022-01-07,Startup,100,1,20000
1615,2870,2023-10-06,Startup,100,1,20000
1008,2870,2022-10-06,Startup,100,0,20000
1620,2846,2023-10-07,Startup,100,1,20000
828,774,2022-07-27,Startup,100,1,20000
249,955,2021-09-27,Startup,100,0,20000
318,1190,2021-11-26,Startup,100,0,20000
1227,1383,2023-01-03,Startup,100,1,20000
1635,2911,2023-10-20,Startup,100,1,20000
954,955,2022-09-27,Startup,100,1,20000
1345,1783,2023-04-04,Startup,100,1,20000
1487,2237,2023-07-08,Startup,100,1,20000
12,6,2021-01-05,Startup,100,0,20000
1589,2818,2023-10-03,Startup,100,1,20000
1220,3372,2022-12-30,Startup,100,0,20000
1451,2247,2023-07-01,Startup,100,1,20000
368,1310,2022-01-04,Startup,100,0,20000
741,2247,2022-07-01,Startup,100,0,20000
273,1045,2021-10-18,Startup,100,0,20000
740,2250,2022-07-01,Startup,100,0,20000
834,2491,2022-07-28,Startup,100,0,20000
360,1383,2022-01-03,Startup,100,0,20000
789,2237,2022-07-08,Startup,100,0,20000
975,2818,2022-10-03,Startup,100,0,20000
1240,1310,2023-01-04,Startup,100,1,20000
1025,1045,2022-10-18,Startup,100,1,20000
448,1503,2022-02-03,Startup,100,0,20000
801,2395,2022-07-19,Startup,110,0,20000
33,111,2021-01-28,Startup,110,0,20000
751,2205,2022-07-01,Startup,110,0,20000
1011,2872,2022-10-07,Startup,110,0,20000
1248,1319,2023-01-05,Startup,110,1,20000
920,874,2022-09-02,Startup,110,1,20000
1382,1907,2023-04-26,Startup,110,1,20000
383,1319,2022-01-05,Startup,110,0,20000
1155,1191,2022-11-25,Startup,110,1,20000
1622,2872,2023-10-07,Startup,110,1,20000
1265,1459,2023-01-25,Startup,110,1,20000
140,524,2021-05-31,Startup,110,0,20000
1225,1301,2022-12-31,Startup,110,1,20000
1728,3306,2023-12-02,Startup,110,1,20000
1541,2557,2023-08-16,Startup,110,1,20000
1139,1182,2022-11-15,Startup,110,1,20000
1427,2104,2023-06-01,Startup,110,1,20000
346,1301,2021-12-31,Startup,110,0,20000
415,1459,2022-01-25,Startup,110,0,20000
66,243,2021-03-08,Startup,110,0,20000
881,842,2022-08-19,Startup,110,1,20000
424,111,2022-01-28,Startup,110,1,20000
681,524,2022-05-31,Startup,110,1,20000
216,842,2021-08-19,Startup,110,0,20000
690,2104,2022-06-01,Startup,110,0,20000
1178,3306,2022-12-02,Startup,110,0,20000
507,243,2022-03-08,Startup,110,1,20000
1458,2205,2023-07-01,Startup,110,1,20000
879,2557,2022-08-16,Startup,110,0,20000
317,1191,2021-11-25,Startup,110,0,20000
766,2287,2022-07-05,Startup,110,0,20000
313,1182,2021-11-15,Startup,110,0,20000
610,1907,2022-04-26,Startup,110,0,20000
233,874,2021-09-02,Startup,110,0,20000
1471,2287,2023-07-05,Startup,110,1,20000
1142,3201,2022-11-21,Startup,375,0,20000
1341,1740,2023-04-04,Startup,375,1,20000
225,880,2021-08-27,Startup,375,0,20000
853,2528,2022-08-01,Startup,375,0,20000
554,1740,2022-04-04,Startup,375,0,20000
1526,2528,2023-08-01,Startup,375,1,20000
1133,3164,2022-11-08,Startup,120,0,20000
334,1269,2021-12-22,Startup,120,0,20000
1466,2260,2023-07-04,Startup,120,1,20000
909,2622,2022-08-31,Startup,120,0,20000
1252,1358,2023-01-06,Startup,120,1,20000
291,1074,2021-10-29,Startup,120,0,20000
1260,1456,2023-01-21,Startup,120,1,20000
1262,1457,2023-01-24,Startup,120,1,20000
1699,3164,2023-11-08,Startup,120,1,20000
275,1056,2021-10-20,Startup,120,0,20000
154,599,2021-06-16,Startup,120,0,20000
778,2320,2022-07-07,Startup,120,0,20000
294,1116,2021-11-01,Startup,120,0,20000
408,1456,2022-01-21,Startup,120,0,20000
1735,3318,2023-12-15,Startup,120,1,20000
1556,2622,2023-08-31,Startup,120,1,20000
1111,3088,2022-11-02,Startup,120,0,20000
760,2260,2022-07-04,Startup,120,0,20000
1192,3318,2022-12-15,Startup,120,0,20000
219,838,2021-08-20,Startup,120,0,20000
1613,2862,2023-10-05,Startup,120,1,20000
395,22,2022-01-08,Startup,120,1,20000
884,838,2022-08-20,Startup,120,1,20000
387,1358,2022-01-06,Startup,120,0,20000
1480,2320,2023-07-07,Startup,120,1,20000
1432,2075,2023-06-02,Startup,120,1,20000
1081,1074,2022-10-29,Startup,120,1,20000
227,882,2021-08-31,Startup,120,0,20000
22,22,2021-01-08,Startup,120,0,20000
999,2862,2022-10-05,Startup,120,0,20000
112,417,2021-04-28,Startup,120,0,20000
1199,1269,2022-12-22,Startup,120,1,20000
411,1457,2022-01-24,Startup,120,0,20000
699,2075,2022-06-02,Startup,120,0,20000
1681,3088,2023-11-02,Startup,120,1,20000
903,882,2022-08-31,Startup,120,1,20000
513,1704,2022-03-22,Startup,130,0,20000
810,2382,2022-07-22,Startup,130,0,20000
1503,2382,2023-07-22,Startup,130,1,20000
195,760,2021-07-29,Startup,130,0,20000
1044,2976,2022-10-25,Startup,130,0,20000
185,736,2021-07-22,Startup,130,0,20000
1565,2644,2023-09-02,Startup,130,1,20000
254,972,2021-09-30,Startup,130,0,20000
1018,1037,2022-10-12,Startup,130,1,20000
1391,1925,2023-04-29,Startup,130,1,20000
711,2157,2022-06-09,Startup,130,0,20000
964,972,2022-09-30,Startup,130,1,20000
490,1677,2022-03-01,Startup,130,0,20000
1697,3137,2023-11-04,Startup,130,1,20000
1439,2157,2023-06-09,Startup,130,1,20000
926,2644,2022-09-02,Startup,130,0,20000
270,1037,2021-10-12,Startup,130,0,20000
1641,2976,2023-10-25,Startup,130,1,20000
629,1971,2022-05-02,Startup,130,0,20000
809,736,2022-07-22,Startup,130,1,20000
1633,2940,2023-10-19,Startup,130,1,20000
623,1925,2022-04-29,Startup,130,0,20000
1029,2940,2022-10-19,Startup,130,0,20000
1323,1704,2023-03-22,Startup,130,1,20000
1395,1971,2023-05-02,Startup,130,1,20000
839,760,2022-07-29,Startup,130,1,20000
1312,1677,2023-03-01,Startup,130,1,20000
1125,3137,2022-11-04,Startup,130,0,20000
1245,1329,2023-01-05,Startup,140,1,20000
65,247,2021-03-05,Startup,140,0,20000
93,318,2021-04-06,Startup,140,0,20000
407,1435,2022-01-21,Startup,140,0,20000
878,2565,2022-08-15,Startup,140,0,20000
917,2668,2022-09-01,Startup,140,0,20000
1264,1492,2023-01-25,Startup,140,1,20000
1679,3033,2023-11-01,Startup,140,1,20000
612,430,2022-04-27,Startup,140,1,20000
1619,2844,2023-10-07,Startup,140,1,20000
217,850,2021-08-20,Startup,140,0,20000
567,318,2022-04-06,Startup,140,1,20000
1110,3042,2022-11-02,Startup,140,0,20000
941,2689,2022-09-08,Startup,140,0,20000
1540,2565,2023-08-15,Startup,140,1,20000
555,1826,2022-04-04,Startup,140,0,20000
1088,3068,2022-10-31,Startup,140,0,20000
333,1278,2021-12-22,Startup,140,0,20000
1138,1176,2022-11-12,Startup,140,1,20000
1144,3207,2022-11-21,Startup,140,0,20000
1435,2109,2023-06-06,Startup,140,1,20000
1529,2470,2023-08-01,Startup,140,1,20000
4,28,2021-01-01,Startup,140,0,20000
705,2109,2022-06-06,Startup,140,0,20000
1233,1376,2023-01-03,Startup,140,1,20000
421,1502,2022-01-27,Startup,140,0,20000
443,1536,2022-02-02,Startup,140,0,20000
1100,3033,2022-11-01,Startup,140,0,20000
340,1292,2021-12-29,Startup,140,0,20000
414,1492,2022-01-25,Startup,140,0,20000
457,159,2022-02-05,Startup,140,1,20000
895,854,2022-08-25,Startup,140,1,20000
1005,1006,2022-10-06,Startup,140,1,20000
1289,1551,2023-02-04,Startup,140,1,20000
1351,1827,2023-04-05,Startup,140,1,20000
108,430,2021-04-27,Startup,140,0,20000
1014,2844,2022-10-07,Startup,140,0,20000
504,247,2022-03-05,Startup,140,1,20000
854,2543,2022-08-01,Startup,140,0,20000
1426,2098,2023-06-01,Startup,140,1,20000
551,1749,2022-04-04,Startup,140,0,20000
150,545,2021-06-04,Startup,140,0,20000
186,714,2021-07-23,Startup,140,0,20000
350,28,2022-01-01,Startup,140,1,20000
1609,2836,2023-10-05,Startup,140,1,20000
749,2229,2022-07-01,Startup,140,0,20000
342,1309,2021-12-30,Startup,140,0,20000
259,990,2021-10-01,Startup,140,0,20000
48,159,2021-02-05,Startup,140,0,20000
645,2005,2022-05-04,Startup,140,0,20000
1456,2229,2023-07-01,Startup,140,1,20000
267,1006,2021-10-06,Startup,140,0,20000
1380,1915,2023-04-25,Startup,140,1,20000
1636,2935,2023-10-21,Startup,140,1,20000
1267,1473,2023-01-25,Startup,140,1,20000
1628,2908,2023-10-14,Startup,140,1,20000
563,1827,2022-04-05,Startup,140,0,20000
307,1131,2021-11-05,Startup,140,0,20000
1035,2935,2022-10-21,Startup,140,0,20000
1754,3359,2023-12-30,Startup,140,1,20000
969,990,2022-10-01,Startup,140,1,20000
1113,1149,2022-11-03,Startup,140,1,20000
882,850,2022-08-20,Startup,140,1,20000
312,1176,2021-11-12,Startup,140,0,20000
656,486,2022-05-10,Startup,140,1,20000
1410,2004,2023-05-06,Startup,140,1,20000
169,654,2021-07-01,Startup,140,0,20000
604,1915,2022-04-25,Startup,140,0,20000
1344,1826,2023-04-04,Startup,140,1,20000
1528,2543,2023-08-01,Startup,140,1,20000
953,2715,2022-09-26,Startup,140,0,20000
60,205,2021-03-02,Startup,140,0,20000
1335,1737,2023-04-01,Startup,140,1,20000
413,1473,2022-01-25,Startup,140,0,20000
473,1623,2022-02-23,Startup,140,0,20000
1675,3068,2023-10-31,Startup,140,1,20000
1705,3207,2023-11-21,Startup,140,1,20000
380,1329,2022-01-05,Startup,140,0,20000
1217,1292,2022-12-29,Startup,140,1,20000
1580,2689,2023-09-08,Startup,140,1,20000
428,1471,2022-01-28,Startup,140,0,20000
126,486,2021-05-10,Startup,140,0,20000
1301,1623,2023-02-23,Startup,140,1,20000
624,1891,2022-04-29,Startup,140,0,20000
1342,1749,2023-04-04,Startup,140,1,20000
995,2836,2022-10-05,Startup,140,0,20000
493,205,2022-03-02,Startup,140,1,20000
540,1737,2022-04-01,Startup,140,0,20000
1128,1131,2022-11-05,Startup,140,1,20000
1269,1502,2023-01-27,Startup,140,1,20000
652,2004,2022-05-06,Startup,140,0,20000
691,2098,2022-06-01,Startup,140,0,20000
1392,1891,2023-04-29,Startup,140,1,20000
1404,2005,2023-05-04,Startup,140,1,20000
1686,3042,2023-11-02,Startup,140,1,20000
303,1149,2021-11-03,Startup,140,0,20000
816,714,2022-07-23,Startup,140,1,20000
984,1013,2022-10-04,Startup,140,1,20000
1259,1435,2023-01-21,Startup,140,1,20000
1561,2668,2023-09-01,Startup,140,1,20000
362,1376,2022-01-03,Startup,140,0,20000
224,854,2021-08-25,Startup,140,0,20000
738,654,2022-07-01,Startup,140,1,20000
1388,1970,2023-04-27,Startup,140,1,20000
1218,1309,2022-12-30,Startup,140,1,20000
1285,1536,2023-02-02,Startup,140,1,20000
1221,3359,2022-12-30,Startup,140,0,20000
1272,1471,2023-01-28,Startup,140,1,20000
617,1970,2022-04-27,Startup,140,0,20000
1024,2908,2022-10-14,Startup,140,0,20000
702,545,2022-06-04,Startup,140,1,20000
851,2470,2022-08-01,Startup,140,0,20000
1198,1278,2022-12-22,Startup,140,1,20000
8,9,2021-01-04,Startup,140,0,20000
455,1551,2022-02-04,Startup,140,0,20000
265,1013,2021-10-04,Startup,140,0,20000
1386,1983,2023-04-27,Startup,400,1,20000
616,1983,2022-04-27,Startup,400,0,20000
89,297,2021-04-05,Startup,400,0,20000
524,1752,2022-03-28,Startup,150,0,20000
639,1955,2022-05-03,Startup,150,0,20000
1137,1177,2022-11-11,Startup,150,1,20000
956,1000,2022-09-27,Startup,150,1,20000
1389,1914,2023-04-28,Startup,150,1,20000
196,748,2021-07-29,Startup,150,0,20000
286,1098,2021-10-28,Startup,150,0,20000
1346,1811,2023-04-04,Startup,150,1,20000
311,1177,2021-11-11,Startup,150,0,20000
918,884,2022-09-02,Startup,150,1,20000
104,424,2021-04-23,Startup,150,0,20000
137,564,2021-05-28,Startup,150,0,20000
247,1000,2021-09-27,Startup,150,0,20000
808,741,2022-07-22,Startup,150,1,20000
835,748,2022-07-29,Startup,150,1,20000
1164,1204,2022-11-30,Startup,150,1,20000
458,144,2022-02-05,Startup,150,1,20000
489,1646,2022-03-01,Startup,150,0,20000
914,2619,2022-09-01,Startup,150,0,20000
1185,3317,2022-12-06,Startup,150,0,20000
1231,1381,2023-01-03,Startup,150,1,20000
157,611,2021-06-22,Startup,150,0,20000
327,1222,2021-12-03,Startup,150,0,20000
590,1865,2022-04-15,Startup,150,0,20000
716,2183,2022-06-21,Startup,150,0,20000
1120,3084,2022-11-03,Startup,150,0,20000
1390,1932,2023-04-28,Startup,150,1,20000
1563,2619,2023-09-01,Startup,150,1,20000
31,102,2021-01-27,Startup,150,0,20000
256,1002,2021-10-01,Startup,150,0,20000
213,824,2021-08-12,Startup,150,0,20000
1309,1646,2023-03-01,Startup,150,1,20000
1230,1344,2023-01-03,Startup,150,1,20000
420,102,2022-01-27,Startup,150,1,20000
1326,1752,2023-03-28,Startup,150,1,20000
1696,3159,2023-11-04,Startup,150,1,20000
167,631,2021-07-01,Startup,150,0,20000
359,1344,2022-01-03,Startup,150,0,20000
1007,2732,2022-10-06,Startup,150,0,20000
764,2278,2022-07-05,Startup,150,0,20000
331,1250,2021-12-09,Startup,150,0,20000
345,1293,2021-12-31,Startup,150,0,20000
1369,1865,2023-04-15,Startup,150,1,20000
1497,2387,2023-07-19,Startup,150,1,20000
1743,3337,2023-12-22,Startup,150,1,20000
184,741,2021-07-22,Startup,150,0,20000
973,2796,2022-10-03,Startup,150,0,20000
1539,2542,2023-08-08,Startup,150,1,20000
361,1381,2022-01-03,Startup,150,0,20000
621,1914,2022-04-28,Startup,150,0,20000
57,212,2021-02-26,Startup,150,0,20000
876,824,2022-08-12,Startup,150,1,20000
596,1872,2022-04-21,Startup,150,0,20000
511,251,2022-03-12,Startup,150,1,20000
1223,1293,2022-12-31,Startup,150,1,20000
1238,1354,2023-01-04,Startup,150,1,20000
375,45,2022-01-05,Startup,150,1,20000
875,2542,2022-08-08,Startup,150,0,20000
1618,2841,2023-10-07,Startup,150,1,20000
14,45,2021-01-05,Startup,150,0,20000
1030,2939,2022-10-19,Startup,150,0,20000
1126,3159,2022-11-04,Startup,150,0,20000
1200,3337,2022-12-22,Startup,150,0,20000
1693,3084,2023-11-03,Startup,150,1,20000
972,1002,2022-10-01,Startup,150,1,20000
620,1932,2022-04-28,Startup,150,0,20000
1015,2841,2022-10-07,Startup,150,0,20000
301,1132,2021-11-02,Startup,150,0,20000
696,576,2022-06-02,Startup,150,1,20000
1181,1222,2022-12-03,Startup,150,1,20000
1443,2183,2023-06-21,Startup,150,1,20000
553,1811,2022-04-04,Startup,150,0,20000
470,1636,2022-02-22,Startup,150,0,20000
695,551,2022-06-02,Startup,150,1,20000
1522,2494,2023-07-29,Startup,150,1,20000
367,1354,2022-01-04,Startup,150,0,20000
1302,1620,2023-02-24,Startup,150,1,20000
477,1620,2022-02-24,Startup,150,0,20000
278,1083,2021-10-25,Startup,150,0,20000
782,2325,2022-07-07,Startup,150,0,20000
63,259,2021-03-04,Startup,150,0,20000
320,1204,2021-11-30,Startup,150,0,20000
1376,1902,2023-04-22,Startup,150,1,20000
230,884,2021-09-02,Startup,150,0,20000
1470,2278,2023-07-05,Startup,150,1,20000
1527,2489,2023-08-01,Startup,150,1,20000
1592,2796,2023-10-03,Startup,150,1,20000
601,424,2022-04-23,Startup,150,1,20000
1042,1083,2022-10-25,Startup,150,1,20000
1370,1872,2023-04-21,Startup,150,1,20000
1731,3317,2023-12-06,Startup,150,1,20000
145,576,2021-06-02,Startup,150,0,20000
480,212,2022-02-26,Startup,150,1,20000
1297,1636,2023-02-22,Startup,150,1,20000
1481,2325,2023-07-07,Startup,150,1,20000
600,1902,2022-04-22,Startup,150,0,20000
495,245,2022-03-03,Startup,150,1,20000
675,564,2022-05-28,Startup,150,1,20000
1102,1132,2022-11-02,Startup,150,1,20000
841,2494,2022-07-29,Startup,150,0,20000
718,611,2022-06-22,Startup,150,1,20000
47,144,2021-02-05,Startup,150,0,20000
1384,1922,2023-04-26,Startup,150,1,20000
62,245,2021-03-03,Startup,150,0,20000
850,2489,2022-08-01,Startup,150,0,20000
1067,1098,2022-10-28,Startup,150,1,20000
608,1922,2022-04-26,Startup,150,0,20000
800,2387,2022-07-19,Startup,150,0,20000
978,2723,2022-10-03,Startup,150,0,20000
739,631,2022-07-01,Startup,150,1,20000
69,251,2021-03-12,Startup,150,0,20000
1590,2723,2023-10-03,Startup,150,1,20000
1617,2732,2023-10-06,Startup,150,1,20000
1632,2939,2023-10-19,Startup,150,1,20000
147,551,2021-06-02,Startup,150,0,20000
1400,1955,2023-05-03,Startup,150,1,20000
512,281,2022-03-22,Startup,175,1,20000
728,2199,2022-06-28,Startup,175,0,20000
746,2169,2022-07-01,Startup,175,0,20000
1228,1289,2023-01-03,Startup,175,1,20000
1453,2169,2023-07-01,Startup,175,1,20000
1585,2735,2023-09-27,Startup,175,1,20000
71,281,2021-03-22,Startup,175,0,20000
958,2735,2022-09-27,Startup,175,0,20000
354,1289,2022-01-03,Startup,175,0,20000
1449,2199,2023-06-28,Startup,175,1,20000
1034,2927,2022-10-21,Startup,175,0,20000
936,2697,2022-09-07,Startup,175,0,20000
1577,2697,2023-09-07,Startup,175,1,20000
246,943,2021-09-23,Startup,175,0,20000
1581,2682,2023-09-08,Startup,450,1,20000
943,2682,2022-09-08,Startup,450,0,20000
201,747,2021-07-30,Startup,200,0,20000
672,516,2022-05-25,Startup,200,1,20000
1488,2269,2023-07-08,Startup,200,1,20000
152,581,2021-06-07,Startup,200,0,20000
135,516,2021-05-25,Startup,200,0,20000
1654,2955,2023-10-27,Startup,200,1,20000
175,646,2021-07-05,Startup,200,0,20000
787,2269,2022-07-08,Startup,200,0,20000
